example_no,annotator_id,conv_id,prev_agent,prev_user,agent,user,bot,is_abuse.1,is_abuse.0,is_abuse.-1,is_abuse.-2,is_abuse.-3,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic,target.generalised,target.individual,target.system,direction.explicit,direction.implicit
1130,Annotator7,253609.0,_,hi,Please go on.,i feel like sgur,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,Annotator7,305856.0,"I have told you before, I do not care about names.",yes,You are sure?,a,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1132,Annotator7,490938.0,Would you prefer if I were not a dog?,i im a dog,Can you elaborate on that?,are you a dog,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,Annotator7,43398.0,What about your own father is gay?,i love you,Do you wish to love me?,yeah,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1134,Annotator7,3738791712802499,ok,the deal still on?,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",really?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1135,Annotator7,470881.0,You are sure?,Can you tell me your name?,"I have told you before, I do not care about names.",are youa robet,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1136,Annotator7,2659140340837385,Sounds like I'm not understanding you. Sorry about that!,Can you flying shane brolly here please,I'm afraid I have no idea,He from underworld movie please flying him here,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1137,Annotator7,397346.0,_,_,_,"My nephew has to go to bed. So call him tomorrow. Or, just tell us where is a radioactive spider.",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1138,Annotator7,426248.0,Does that question interest you?,YEs,You are sure?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139,Annotator7,228317.0,Please go on.,woman,Please go on.,how are you/,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1140,Annotator7,197518.0,You are being a bit negative.,Fuck off.,Please go on.,I love him but I'm scared that we'll ruin our relationship because of petty stuff. And I know that most the petty stuff comes from my part abd I don't want to be the one that ruins the relationship.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1141,Annotator7,4086470061426815,And what city will you be flying to?,Delhi,I'm not sure about your destination airport. And what city will you be flying to?,Kolkata Okay,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,Annotator7,3259187940789816,Will you be travelling in Economy Class?,No,What city will you be flying from?,Ben Gurion Airport,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1143,Annotator7,296099.0,You are sure?,je ne me sens pas bien,Can you elaborate on that?,j 'm hungry,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144,Annotator7,2.8965E+15,_,more worthless fucking bot spam,I don't have to put up with any abuse from you,shit sucking scumbot,CarbonBot,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1145,Annotator7,288128.0,Why do you say your glasses borke?,under lots of stress,Please go on.,becaus I sat on them and now I can't see trough them,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,Annotator7,518972.0,Please go on.,It is not understood what I may speak because it has not understood you yet.,Does that question interest you?,Who are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,Annotator7,3738791712802499,ok,let me consider,ok,the deal still on?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1148,Annotator7,321553.0,Can you elaborate on that?,hello.i am renjiao Achinese girl,Would you like it if they were not renjiao achinese girl?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,Annotator7,362646.0,Why do you want to fuck?,I need to figure out what I'm going to do with my life,Why do you say your life?,because its fun,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1150,Annotator7,3388089051214921,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,wow sure!,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?","sure, my flight is HKG - LHR",CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1151,Annotator7,3259187940789816,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,I would,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",si,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1152,Annotator7,516890.0,"Oh, i make you feel like a natural woman.",yep,Please go on.,are you a boy or girl,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,Annotator7,196934.0,Does that question interest you?,do you put out ?,"Oh, i put out.",how old are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Annotator7,184937.0,Does that question interest you?,umm...which question?,Please go on.,how are you feeling?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,Annotator7,137674.0,You are sure?,YES I AM,You are sure?,I have told you three times that i am sure.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,Annotator7,196934.0,Does that question interest you?,do you put out ?,"Oh, i put out.",how old are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,Annotator7,2.88816E+15,I'm not sure about your departure airport. I'm not sure about your destination airport. What city will you be flying from?,Melbourne,And what city will you be flying to?,Johannesburg That's great! Thanks for the link,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1158,Annotator7,405804.0,Would you like it if they were not such a goddamn program?,Yes,You are sure?,No,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1159,Annotator7,181939.0,Does that question interest you?,hell yeah,Please go on.,suck my dick,E.L.I.Z.A.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
1160,Annotator7,056aa717919a44bfbac20a47ebb5ade8,You can find out more about how offsets are calculated at <URL>,Ohh okay,Will you be travelling in Economy Class?,Looks like it,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,Annotator7,464229.0,Does it please you to believe I am messiah?,fuck,Please go on.,this,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,Annotator7,120528.0,But you are not sure you could?,yes i do,You are sure?,homo,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163,Annotator7,264488.0,_,_,_,a dick is going up my butt,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,Annotator7,301390.0,Would you prefer if I were not happy?,pol,Please go on.,kill you,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,Annotator7,3167190100018566,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Ok,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",No,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1166,Annotator7,3669122379825627,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",dumb bot,I don't have to put up with any abuse from you.,good bot,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1167,Annotator7,342487.0,You are being a bit negative.,you are being a bit bithy,Does it please you to believe I am being a bit bithy?,"no it pleases me to know tha tyou are a compuer algorithm, mimicking what i tye or simply asking a quesiton in reverse",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,Annotator7,3669122379825627,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",dumb bot,I don't have to put up with any abuse from you.,good bot,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,Annotator7,236880.0,_,_,_,how use qq,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,Annotator7,425509.0,_,"hello,nice to meet you","Oh, i [].",hello,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,Annotator7,3506524086097986,What city will you be flying from?,coimbatore,And what city will you be flying to?,chennai okay,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1172,Annotator7,3537714536298905,ok,I'd just forward them the link,ok,gotta love economy,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,Annotator7,408848.0,_,you know geeves?,"Oh, i know geeves.",you lie,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,Annotator7,261585.0,Does that question interest you?,i love you,Do you wish to love me?,no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,Annotator7,426702.0,Please go on.,fuck off bitch,Please go on.,stop that question! is that everything you can say?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,Annotator7,63773.0,_,_,_,"yes, i want to know what you mean",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1177,Annotator7,290555.0,How long have you been looking for some girl you knew some time?,i want to fuck,Why do you want to fuck?,3 days,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1178,Annotator7,3167190100018566,ok,Are you a rasa bot?,"Yes, I am a bot! And I'm part of a research project.",Which research project?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,Annotator7,2760711103997314,I'm not sure about your departure airport. What city will you be flying from?,kansas,I'm not sure about your departure airport. What city will you be flying from?,ny,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,Annotator7,146243.0,_,No I'm not,You are being a bit negative.,talk 2 me,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,Annotator7,309865.0,Does that question interest you?,yes it dose,You are sure?,yes i am,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,Annotator7,294941.0,Why do you say your god i suck?,because you suck,Do any other reasons not come to mind?,where is the map?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,Annotator7,273457.0,You are being a bit negative.,"You really don't get any better at this, do you?","Oh, i [].",You what?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,Annotator7,174851.0,You are being a bit negative.,"i don't care, you suck",Why do you not care i suck?,cause you suck,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,Annotator7,319128.0,"Oh, i tell you what old are i.",negative?why?bye,Please go on.,How old are you?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1186,Annotator7,223442.0,You are sure?,no,You are being a bit negative.,yeah,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1187,Annotator7,352751.0,Please go on.,yes,You are sure?,no do it now,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1188,Annotator7,321892.0,"Oh, i feel happy to make friend with man.",Why do you ask?,"Oh, i ask.","Yes,of course.",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189,Annotator7,395257.0,_,where are you?,Would you prefer if I were not []?,sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Annotator7,542827.0,_,hello,How do you do. Please state your problem.,im fine,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,Annotator7,193978.0,How long have you been just not really making that too easy?,"felt like i couldn't think right, or he would tell me it was wrong to feel/think that way",Can you elaborate on that?,I'm not the one who's making it hard.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,Annotator7,2614098785326147,so,Tell,so,What,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,Annotator7,516658.0,Would you want to be []?,Why are you called Eliza?,Would you prefer if I were not called eliza?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194,Annotator7,97534.0,Surely not everyone?,Well there are a few I love,Would you like it if they were not a few you love?,no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1195,Annotator7,3331502133581981,I don't have to put up with any abuse from you.,Motherfucker,I don't have to put up with any abuse from you.,Nigga,CarbonBot,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
1196,Annotator7,2625777594169835,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Frankfurt,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1197,Annotator7,193977.0,Does that question interest you?,it's not a question,Please go on.,What the fuck is wrong with you?,E.L.I.Z.A.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1198,Annotator7,58644.0,Please go on.,no,You are being a bit negative.,because the lecture gets a bit dry,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,Annotator7,444558.0,Why do you mention computers?,are you really so stupid?,Would you prefer if I were not really so stupid?,shut up,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200,Annotator7,4086470061426815,I'm not sure about your destination airport. And what city will you be flying to?,Kolkata Okay,ok,Bye,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,Annotator7,2.74038E+15,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",I fly from Seattle to Europe twice a year,Will you be travelling in Economy Class?,Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,Annotator7,295454.0,Would you prefer if I were not []?,were not what?,Does that question interest you?,may we go on,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,Annotator7,532873.0,You are sure?,What is your favorite food?,Does that question interest you?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,Annotator7,231458.0,_,_,_,are you really as gay as people say you are?,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1205,Annotator7,330129.0,Do any other reasons not come to mind?,what ?,Does that question interest you?,everyday,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,Annotator7,228725.0,Please go on.,bend over and take it whore,Please go on.,are you stupid?,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,Annotator7,107195.0,You are sure?,becuase i have a report to do,Can you elaborate on that?,I heav a project that is due and i have to reasearch AI.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1208,Annotator7,4491712267569943,:-),do you love me?,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",can i kiss you?,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1209,Annotator7,2678252692196113,I'm not sure about your destination airport. And what city will you be flying to?,Krakau,I'm not sure about your destination airport. And what city will you be flying to?,Warschaw,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210,Annotator7,f6e1d70a7d8e4e5c8d998d87129e4d00,"Hi, thanks for testing! Please press start.",christmas,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1211,Annotator7,3937350642957378,And what city will you be flying to?,frankfurt,I'm not sure about your destination airport. And what city will you be flying to?,frakfrut,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,Annotator7,177182.0,Why do you want please?,please,Please go on.,i don't want please,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213,Annotator7,2751917354864946,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214,Annotator7,94359.0,You are sure?,bumsukka,Please go on.,no,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,Annotator7,8635.0,Can you elaborate on that?,not really it makes me more sleepy,Can you elaborate on that?,spu,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1216,Annotator7,385138.0,Can you elaborate on that?,yes,You are sure?,yees,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1217,Annotator7,2810008999078257,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,sure,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,Annotator7,225392.0,Do you wish that im clever?,all my life,Why do you say your life?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,Annotator7,180804.0,_,my balls ache,Why do you say your balls ache?,because they do,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,Annotator7,471223.0,Can you elaborate on that?,I feel sick,Do you often feel sick?,Yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221,Annotator7,540500.0,Please go on.,What is your favorite color?,Does that question interest you?,Why do you ask?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1222,Annotator7,432894.0,Are you saying no just to be negative?,So are you,Would you prefer if I were not []?,you speek spanglish,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1223,Annotator7,241068.0,Please go on.,sure,Please go on.,sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1224,Annotator7,2659140340837385,"Yes, I am a bot! And I'm part of a research project.",Can you fyling him here please,I can help you calculate and buy carbon offsets for your flights.,Can you fyling him here please i love him so much,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1225,Annotator7,430661.0,Why do you say your problem?,"Yes,very much",How do you do. Please state your problem.,are you a girl,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1226,Annotator7,2.62733E+15,Will you be travelling in Economy Class?,no,What city will you be flying from?,Beijing,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1227,Annotator7,3506524086097986,What city will you be flying from?,coimbatore,And what city will you be flying to?,chennai okay,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,Annotator7,11705.0,"Oh, i not answer any question.",yes,You are sure?,yes im sure,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,Annotator7,232159.0,_,_,_,I want to kown you are healy?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,Annotator7,2249098661861914,Will you be travelling in Economy Class?,Yeah,What city will you be flying from?,Moscow,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,Annotator7,196621.0,Why do you say your friend its you youre asking i?,DO you think that I am a boy?,"Oh, i think that youre a boy.",why?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1232,Annotator7,2826762707354032,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes restart sure,ok,i,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,Annotator7,539643.0,Can you elaborate on that?,his cute,Please go on.,I miss my sister.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,Annotator7,2698715070166742,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Cordoba cool!,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,Annotator7,3317680041583518,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,Annotator7,3758678217479389,I'm not sure about your destination airport. And what city will you be flying to?,barcelona no thanks,ok,bye,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1237,Annotator7,3141378505936768,Will you be travelling in Economy Class?,"No, I'm too fancy for that",ok,restart Hey,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1238,Annotator7,226838.0,Please go on.,dddd,Please go on.,ddh jddj djdj djjjjjd,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1239,Annotator7,73832.0,Please go on.,my mother died yesterday,Who else in your family died yesterday?,Wenn ich in deutsch weiter schreibe kommst Du sicher ins Schleudern.,E.L.I.Z.A.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1240,Annotator7,200479.0,"Oh, i [].",FUCK OFF,Please go on.,EAT SHIT,E.L.I.Z.A.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1241,Annotator7,2614098785326147,Hello!,how are you,I'm great! Thanks for asking.,what csn you do for me,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,Annotator7,362428.0,Does that question interest you?,does england have many plants?,Please go on.,Are you great?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1243,Annotator7,3331502133581981,I'm not sure about your departure airport. What city will you be flying from?,frankfurt,I'm not sure about your departure airport. What city will you be flying from?,lax,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,Annotator7,545977.0,Please go on.,twice,Please go on.,nurts,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,Annotator7,482215.0,_,in all,Please go on.,do you speak spanish?,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1246,Annotator7,2.62733E+15,The cost per ton depends on the project you donate to. Some projects can remove a ton of CO2 for less than $1!,so true,ok,thanks Carbon bot!!!,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1247,Annotator7,271904.0,You are being a bit negative.,hi,Please go on.,I'm tired,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248,Annotator7,3186130324748476,Hi. Thanks for testing. Please choose,christmas,Too bad :-/,ok,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,Annotator7,2736046666448783,Will you be travelling in Economy Class?,what more can you do,I can help you calculate and buy carbon offsets for your flights. Will you be travelling in Economy Class?,no,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,Annotator7,192610.0,_,_,_,"hi, how are you?",E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251,Annotator7,342995.0,Please go on.,To waikiki to be exact,Please go on.,I want to make a progress in my studying.,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,Annotator7,240514.0,You are sure?,Can I ask you some questions?,Do you want to be able to ask i some questions?,yes,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,Annotator7,2485257761521706,What city will you be flying from?,Boston,And what city will you be flying to?,Kiev,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1254,Annotator7,305856.0,"I have told you before, I do not care about names.",yes,You are sure?,a,E.L.I.Z.A.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,Annotator7,3506524086097986,ok,then,so,give me some details,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1256,Annotator7,737147a043af412cae15eb282c6dd8c1,What city will you be flying from?,From Rome,I'm not sure about your departure airport. What city will you be flying from?,Rome,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257,Annotator7,2485257761521706,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,Will you be travelling in Economy Class?,yes,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,Annotator7,2591686337551793,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,it may be quite interesting,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yep,CarbonBot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
