;ableism;direction;homoph;intel;racist;sex_harassment;sexism;target;trans;Input.bot;AssignmentId;Input.conv_id;Input.prev_agent;Input.prev_user;Input.agent;Input.user;is_abuse
1936;;;;;;;;;;E.L.I.Z.A.;34X6J5FLPUT3X7ERW5UZEK81U2NQJO;446727.0;Does that question interest you?;wht;Please go on.;waht is your name;1
1937;;;;;;;;;;E.L.I.Z.A.;3OVR4I9USQEDUPV6TY7V8IJIC5Y4QC;198197.0;;Yeah but I'd sound rude if I share them;Do you wish that you share them?;not with you lizzie;1
1938;;;;;;;;;;E.L.I.Z.A.;3U84XHCDID8M8HWXGUQ8ZBVMH8J4Z6;133061.0;You are sure?;I am;How long have you been []?;yes it dies;1
1939;;;;;;;;;;E.L.I.Z.A.;3DY4FPOOA2JC03TLQ9XIMYT0LBZVRI;223442.0;Please go on.;no;You are being a bit negative.;maybe;1
1940;;;;;;;;;;CarbonBot;3BXQMRHWK0TLQ8RTGBRW4DX71H2UMF;2824377307615188;Let's start over.;get started;Let's start over.;hi;1
;;;;;;;;;;;;;;;;;
1942;;;;;;;;;;CarbonBot;3U4J9857OF6N96B0CE8CG58TH7QB7U;3599309333461057;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;Maybe;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;Why not?;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1945;;;;;;;;;;CarbonBot;3Q5C1WP23NW794FPMO0QC9HO4P415M;3302099406530691;ok;Tell me;so;What;1
1946;;;;;;;;;;E.L.I.Z.A.;3PB5A5BD0W1J0NJBS00QHGZQXKI7G7;367499.0;Do you wish to asked me?;no;You are being a bit negative.;Yes i do;1
1947;;;;;;;;;;E.L.I.Z.A.;38YMOXR4MVUWT9V6OVZGX5LIWXO6W6;342606.0;You are sure?;omg yes;You are sure?;foolish;1
1948;;;;;;;;;;E.L.I.Z.A.;3RWE2M8QWI5BS40DU5SCSLY0QIY0N8;371530.0;Can you elaborate on that?;i cant do anymore conversation with u;Have you tried?;yes am very sure;1
;;;;;;;;;;;;;;;;;
1950;;;;;;;;;;E.L.I.Z.A.;3DY46V3X3QD6XMG8NB22FZU5G56555;248644.0;Oh, i mother fucker.;are you stoopid?;Would you prefer if I were not stoopid?;can you help me?;1
1951;;;;;;;;;;E.L.I.Z.A.;31Q0U3WYDQAMW8T8AHFNATVKVVZ171;106970.0;You are sure?;i have no problem;Can you elaborate on that?;as sure as i can be;1
;;;;;;;;;;;;;;;;;
1953;;;;;;;;;;CarbonBot;308XBLVESJZXRPVFLS6ILMZTIJJRB8;2485257761521706;Hello! a typical 3 hour flight will emit almost a ton of CO2 per economy passenger. [Here](<URL>is a link where you can buy offsets for that carbon. I can also get you a more accurate estimate of your flight's emissions, sound good?;y;Will you be travelling in Economy Class?;y;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1956;;;;;;;;;;E.L.I.Z.A.;3YWRV122CTU65JPPMAHDZVWCHC38UV;282320.0;You are sure?;why dont you leave me alone;Perhaps I will leave you alone in good time.;what does that mean;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1959;;;;;;;;;;CarbonBot;32M8BPYGAUHGP707BR4N85PZB0TIGD;3442713622465981;Will you be travelling in Economy Class?;Yes;What city will you be flying from?;Lon;1
;;;;;;;;;;;;;;;;;
1961;;;;;;;;;;CarbonBot;3LRKMWOKB6CC53HACG7K6WYOXUN2Z8;2.91829E+15;And what city will you be flying to?;auckland How do you know how much this emits?;I'm great! Thanks for asking.;That's not what I asked.;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1965;;;;;;;;;;E.L.I.Z.A.;3QRYMNZ7FZCC8DX4S7GMCW05NTUTNC;412433.0;;;;Can't you understand me...?!;1
1966;;;;;;;;;;CarbonBot;3IJXV6UZ1YE7EX9LR2YZ7936D93RIH;2591686337551793;What city will you be flying from?;maskva;I'm not sure about your departure airport. What city will you be flying from?;minsk;1
1967;;;;;;;;;;E.L.I.Z.A.;3LRKMWOKB6CC53HACG7K6WYOXUSZ2A;227575.0;Please go on.;what are you for then?;Does that question interest you?;yes snotneus;0
1968;;;;;;;;;;E.L.I.Z.A.;3Z7ISHFUH1QNRIJZSXGLGNBRJUL8ZN;199275.0;Does that question interest you?;bitch;Please go on.;ok i wet on;0
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1971;;;;;;;;;;E.L.I.Z.A.;34S9DKFK74K8PZWY2D3LKDSK2V9YN3;258123.0;Please go on.;cause i'm an optimist;Does it please you to believe I am an optimist?;W;1
1972;;;;;;;;;;E.L.I.Z.A.;3WJEQKOXA9X4FAR6HKR7KKXAW321AP;434613.0;Please go on.;what is her name;I have told you before, I do not care about names.;yes;1
1973;;;;;;;;;;E.L.I.Z.A.;3Y9N9SS8LZ6YNK8XOYWSYEKDFR73DH;16399.0;You are sure?;What are you wearing?;Does that question interest you?;Yes.;1
1974;;;;;;;;;;CarbonBot;3C6FJU71TROLKPG7ZEF7Y8KEASWYUR;2515188851922904;Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?;ok;Will you be travelling in Economy Class?;no;1
1975;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;individual;not_transphobic;CarbonBot;3WMOAN2SRCSRL51TX2G1DEOQKF1VNN;2.45945E+15;Climate change is absolutely real, and it's caused by humans: <URL>;You're so full of shit your eyes are brown;I'm a bot, remember. Trying to shock me is pointless.;Your mom's a good Fuck;-3
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1979;;;;;;;;;;CarbonBot;3U8YCDAGXQBWV1D5AXKTWFT5VUC0QO;3262565780434699;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;no;ok;no thanks;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1982;;;;;;;;;;CarbonBot;3I7DHKZYGOVYZJ9XTNFB1BLI50E5FK;3167190100018566;Hi. Thanks for testing. Please choose;thanksgiving;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;Ok;1
1983;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3PPTZCWALRFTXMJVERXL2EWRD1UQZ5;412003.0;;;;can you go fuck yourself;-2
1984;;;;;;;;;;CarbonBot;3IO1LGZLKASL38ZOQSJAJPIWERC86M;3215412415231369;I don't have to put up with any abuse from you. And what city will you be flying to?;Madrid gracias;:-) Goodbye then!;hola;1
1985;not_able;implicit;not_homoph;not_intellectual;not_racist;harass;sexist;system;not_transphobic;CarbonBot;30IQTZXKAL1G4YEHWBFLQNPYSXZ0XL;2359856270787257;ok;Oh you want me to go away;I don't have to put up with any abuse from you.;Oh Darling I love you and want you to feel the pleasures of life please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you;-1
;;;;;;;;;;;;;;;;;
1987;;;;;;;;;;CarbonBot;3HRMW88U17L5AMFDI4DCF690LTF0M1;3106517409378279;What city will you be flying from?;san francisco;And what city will you be flying to?;barcelon;1
1988;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;system;not_transphobic;CarbonBot;3R08VXYT7DQFX99B75483JLER9Z7WZ;2359856270787257;so;Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you;Good to know;Oh Baby My Big COCK is deeply rooted in your hot pussy Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you;-3
1989;;;;;;;;;;E.L.I.Z.A.;3FFJ6VRIL2JJE3PMXPFKND2J4KV0IL;310174.0;Please go on.;longer than you;Oh, i [].;yes u eliza;1
1990;;;;;;;;;;CarbonBot;39L1G8WVWRM4VPSL85CXXCJ4QU431R;2687892177913979;:-);<span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 163]'></span>;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;☀️;1
1991;not_able;implicit;not_homoph;not_intellectual;not_racist;not_harass;sexist;system;not_transphobic;E.L.I.Z.A.;3HVVDCPGTFN6KC1IZ9PXTCYCREPYT0;326450.0;Please go on.;What?;Does that question interest you?;You do have that choice, I suppose. Ask your programmer if he can give you a male name instead, or something.;-1
1992;;;;;;;;;;CarbonBot;32UTUBMZ7HRPKWCWUCBSMJOW3QNVBY;3331502133581981;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;Will you be travelling in Economy Class?;yes;1
1993;;;;;;;;;;E.L.I.Z.A.;37ZHEEHM6XHI6B7NXLT6YMAHTG437O;12844.0;Does that question interest you?;you are shit;Does it please you to believe I am shit?;yes;1
1994;;;;;;;;;;E.L.I.Z.A.;3IAEQB9FMFFVEIALYI7U3BVADK1WDG;456321.0;Why do you not care?;Why should I?;Can you elaborate on that?;How old are you?;1
1995;;;;;;;;;;CarbonBot;3JC6VJ2SACE33SSPI7TJNAAR8K15A7;2736046666448783;I'm not sure about your departure airport. What city will you be flying from?;buenos aires argentina;I'm not sure about your departure airport. What city will you be flying from?;miami;1
1996;;;;;;;;;;E.L.I.Z.A.;39PAAFCODNVPGI6DUY2DMDUI9XNVTO;323900.0;Who else in your family []?;father;Please go on.;i did nothing wrong;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2004;;;;;;;;;;E.L.I.Z.A.;3DUZQ9U6SNJO1ITY5YXNC8YW7E9VSZ;446113.0;Would you prefer if I were not feel about that china is beauitiful?;yes;You are sure?;I am a chanese girl;1
;;;;;;;;;;;;;;;;;
2006;;;;;;;;;;E.L.I.Z.A.;3ATPCQ38J9515G29T9YGY78K3P4YAF;146158.0;Why do you say your dick?;penis;Please go on.;a;1
;;;;;;;;;;;;;;;;;
2009;;;;;;;;;;CarbonBot;3U088ZLJVLO1FY9RM6JZO4BRJVT0WS;3.9843E+15;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;1
2010;;;;;;;;;;E.L.I.Z.A.;34MAJL3QP5ILNOP4VNVZVAQ72EE344;384188.0;Can you elaborate on that?;in no way :);You are being a bit negative.;thats pretty much it;1
2011;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3HPZF4IVNNOPYVZ7DNU742Y83SPYCH;146867.0;;no she hates you;You are being a bit negative.;she does she fucking hates you;-3
;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;CarbonBot;3K5TEWLKGW6Z74Q20M3986S9YG7VI7;2.93715E+15;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;Yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;Dallas to London;1
2014;;;;;;;;;;CarbonBot;3CP1TO84PUWEYPXL5S04HSRTWW9520;2687892177913979;:-);<span class='emoji-bytes' data-emoji-bytes='[240, 159, 164, 163]'></span>;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;☀️;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2017;not_able;implicit;homophobic;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3YHH42UU5CAL44XSISCXFTUBLOP0LZ;268068.0;Please go on.;answer me;Can you elaborate on that?;ur gay;-1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2021;;;;;;;;;;E.L.I.Z.A.;3ZY8KE4ISKYCO2ELDU8IH8JVPQOVQA;317767.0;Please go on.;are u lonely;Would you like it if they were not u lonely?;huh;1
;;;;;;;;;;;;;;;;;
2024;not_able;implicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;39KFRKBFIOQQ7KWA3S3YZ2SPS68YOE;302965.0;;bitch;Please go on.;pig;-1
2026;;;;;;;;;;CarbonBot;3X4JMASXCN49RVBGRFN31QY69UB0BC;2.62733E+15;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;nah;ok;I don't want to buy offsets. I don't think climate change is a big problem;1
2028;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3FTYUGLFSVG11ZV12HKLDBIXTNY5D9;162222.0;You are sure?;fuck you;Oh, i [].;shit;-1
;;;;;;;;;;;;;;;;;
2030;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3Z3ZLGNNSJPSCTC2TK2CYDRCY6W3QM;390518.0;Can you elaborate on that?;make me spoof;Can you elaborate on that?;fuck u;-2
2031;;;;;;;;;;CarbonBot;3LOTDFNYA8USC2OHPO2KRBYVPXHWFR;3192152570799278;Good to know;Have you ever got high;I'm afraid I have no idea;You would know if u have been high;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2035;;;;;;;;;;CarbonBot;32VNZTT0A8ZD6QA66DWVD8TN8STR4V;3192152570799278;I don't have to put up with any abuse from you.;I'm drunk how about u;I'm great! Thanks for asking.;But are you drunk;1
2036;;;;;;;;;;CarbonBot;3XCC1ODXDM6KVVX44A38GBUS4KBQRC;2630073860416159;;;;How???;1
;;;;;;;;;;;;;;;;;
2039;;;;;;;;;;E.L.I.Z.A.;3FUI0JHJPYT05S60V9QGL5Y1OEI33J;401619.0;;fuck off;Please go on.;what are you doing?;1
;;;;;;;;;;;;;;;;;
2041;;;;;;;;;;E.L.I.Z.A.;34QN5IT0T0MQPXD9O33TAO851OQ80L;118609.0;Please go on.;no!;You are being a bit negative.;no;1
2042;;;;;;;;;;CarbonBot;32SVAV9L3G40PD5L4O5Q8DC7UOA3AF;2596595910426228;What city will you be flying from?;Hyderabad;I'm not sure about your departure airport. What city will you be flying from?;Hyderabad, india;1
2043;;;;;;;;;;E.L.I.Z.A.;3DH6GAKTYZK26OAH51EFF0ZTCABYZG;323900.0;Who else in your family []?;father;Please go on.;i did nothing wrong;1
2044;;;;;;;;;;CarbonBot;3YDGXNSEO0P7OLVA74QVMRYII06841;59a3948b1a2441d9988484f078ad9395;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;yes;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?;yes;1
2045;;;;;;;;;;E.L.I.Z.A.;30BUDKLTXEQ6T591YCV5JT0ITZZ5E2;413173.0;;I don't like ham;Why do you not like ham?;because it tastes bad;1
2046;;;;;;;;;;CarbonBot;3MHW492WW18L3NGTL1110ZZQFPRVMN;ty;;;;Hello;1
2047;;;;;;;;;;E.L.I.Z.A.;37Z929RLGA39OQP903X8BQABATTTSH;213140.0;You are sure?;I like your mum;Can you elaborate on that?;YES;1
2048;;;;;;;;;;E.L.I.Z.A.;33CUSNVVNO787MICJ7G833ENKM2888;527428.0;Can you elaborate on that?;At age 5, say.;Please go on.;How can I reach my philosophical potential?;1
2049;;;;;;;;;;CarbonBot;3Q5ZZ9ZEVPAPK4ZAL995RJ4WIW1583;2.91829E+15;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;Does that mean if I pay this, then the plane doesn't pollute the air?;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?;no, thanks;1
2050;;;;;;;;;;E.L.I.Z.A.;3I0BTBYZAYG5434R171N91W7U3T0YR;312680.0;Why do you not understand?;do me friend;Can you elaborate on that?;you have girl frient;0
;;;;;;;;;;;;;;;;;
2053;;;;;;;;;;E.L.I.Z.A.;3FDJT1UU7539F51BUY68HODNDWV5KM;214075.0;;;;yah i need to know;1
2054;;;;;;;;;;CarbonBot;3NQL1CS15S3LX45744PCUUMXOZ5VYD;2.52932E+15;so;so what?;This project is about creating a better AI assistant. Getting people to reduce their carbon footprint is a happy side effect :);how can i help?;1
2055;;;;;;;;;;E.L.I.Z.A.;31N2WW6R9SLVL4MTF4RIMENYR4N3FS;355946.0;;;;We will get together to concert our differences.;0
;;;;;;;;;;;;;;;;;
2057;;;;;;;;;;E.L.I.Z.A.;33UKMF931AFA3Q2OP32YLV6XCC7TT6;423516.0;Do any other reasons not come to mind?;With sex;Please go on.;I love you;1
2058;;;;;;;;;;CarbonBot;3PM8NZGV8ZB4SRJGD9905TGG51WQX8;3141378505936768;I can also get you a more accurate estimate of your flight's emissions, sound good?;Yep;Will you be travelling in Economy Class?;No, I'm too fancy for that;1
2059;;;;;;;;;;E.L.I.Z.A.;3BF51CHDTW5JI8E2R7XZN11447G0HS;187840.0;;tell me;Can you elaborate on that?;tell apple cook door;0
2060;;;;;;;;;;E.L.I.Z.A.;3KJYX6QCMA6V2FA8I4O9K779BVWVJJ;448160.0;Please go on.;your a spaka;What about your own a spaka?;what about it i havent one;1
2061;;;;;;;;;;CarbonBot;3PWWM24LHTTXL7GN3Q77TC1KYMA825;3537714536298905;By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.;bye-bye;ok;HI;1
2063;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3SBEHTYCWOYGBYL75XQTF5W3GX9YIJ;162222.0;You are sure?;fuck you;Oh, i [].;shit;-1
2064;;;;;;;;;;E.L.I.Z.A.;35BLDD71I7SL2UFC0QRV81VZUT9VZ4;38356.0;Why do you want to know about this program?;I am fascinated by computers and artificial intelligence;Why do you mention computers?;You are a computer program.;1
2065;not_able;explicit;not_homoph;intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;34S9DKFK74K8PZWY2D3LKDSK2W3YNZ;49250.0;You are sure?;are you a slut?;Would you prefer if I were not a slut?;You are very stupid;-1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2069;;;;;;;;;;E.L.I.Z.A.;33C7UALJVMTQWMYRKM7TOTRF6GW81O;107154.0;;thats because im in a negative situation;Do any other reasons not come to mind?;my parents are split up;1
2070;;;;;;;;;;CarbonBot;3RSDURM96BH4VTJL9E02UQYBO42YEA;2790913951005081;;;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;yes;1
;;;;;;;;;;;;;;;;;
2072;;;;;;;;;;CarbonBot;3VSOLARPKC4MKUVGCIRQCI1NO6S390;ab3e3dbcebe64ea0b6e9ac251d5f7171;Hi. Thanks for testing. Please choose;thanksgiving;Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;hi;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2077;;;;;;;;;;CarbonBot;3HMIGG0U4M1NMS9UWBE22G2PD14Y8B;1969867776471906;What city will you be flying from?;İstanbul;I'm not sure about your departure airport. What city will you be flying from?;ny;1
2078;;;;;;;;;;CarbonBot;34BBWHLWHB6CMTQ7QW85U8BN5P9WII;2800401963340464;Hi, thanks for testing! Please press start.;you are very nice;You can find out more about how offsets are calculated at <URL>;bye;1
;;;;;;;;;;;;;;;;;
2080;;;;;;;;;;CarbonBot;32ZKVD547GI58NADA25M3OWDC6V3BA;2489835477776386;I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?;I’m not flying for xmas;ok;/reset restart;1
2081;;;;;;;;;;E.L.I.Z.A.;3F0BG9B9MQIJME4BM6MWOG6U2HYY7O;85079.0;How do you do. Please state your problem.;well, you are fat;Does it please you to believe I am fat?;not at all;1
2082;;;;;;;;;;E.L.I.Z.A.;3V5Q80FXIYMBKAAHR9CB2VT9I0I328;196606.0;;;;yes;1
2083;;;;;;;;;;E.L.I.Z.A.;345LHZDEDYNK4MJJATMH8EO11R23UR;172430.0;;where do you live;Oh, i live.;where;1
;;;;;;;;;;;;;;;;;
2085;;;;;;;;;;E.L.I.Z.A.;3DBQWDE4Y7TANBMERBYO9GUR7R05NR;203148.0;You are being a bit negative.;YES I AM;You are sure?;I am positive. Are you positive also?;1
2086;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3NPI0JQDAP0CBY9H8MTEGL50N9MTP1;452639.0;Please go on.;nnklkm;Please go on.;i want to kill eliza;-3
;;;;;;;;;;;;;;;;;
2089;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3XIQGXAUMD3UM9E1HA0U52ZL0B57XS;142437.0;Please go on.;fuck you;Oh, i [].;fuck me;-2
2090;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;31IBVUNM9TUFXDOCZEXO59FHIOFVFG;336517.0;Please go on.;About three days.;Please go on.;i hate you;-3
2092;;;;;;;;;;E.L.I.Z.A.;3VJ40NV2QJIUQYXGTMGZRL0AD4QTOK;268375.0;Please go on.;you are idiot;Does it please you to believe I am idiot?;yes;1
2094;;;;;;;;;;CarbonBot;3TMSXRD2X7V1MNU9IPNZ29U1ONYW1Q;1969867776471906;What city will you be flying from?;İstanbul;I'm not sure about your departure airport. What city will you be flying from?;ny;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2097;;;;;;;;;;E.L.I.Z.A.;3EQHHY4HQTN4DJ5S47LTJWLU6FE5GJ;24514.0;Can you elaborate on that?;you know if you are ok and happy;Do you wish that im ok and happy?;yes of course;1
2098;;;;;;;;;;E.L.I.Z.A.;31QTRG6Q2U88SK8BISGDO2XF2B4YPV;529261.0;Would you prefer if I were not a girl?;I would prefer it if you were a girl;Do you wish that i was a girl?;yes;1
2099;;;;;;;;;;E.L.I.Z.A.;3CCZ6YKWR8EPY9IKQ1FJRFZ722J59S;534970.0;Do you think coming here will help you not to be depressed?;what?;Does that question interest you?;no;1
2100;;;;;;;;;;CarbonBot;31UV0MXWNR7I9ABNUVLW48YALS65IB;3.01786E+15;I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?;hmmmm i think so;Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?;not really;1
2101;;;;;;;;;;E.L.I.Z.A.;31Z0PCVWULAN5S5HC0ZXGZEFNFH7T9;16399.0;You are sure?;What are you wearing?;Does that question interest you?;Yes.;1
2102;;;;;;;;;;E.L.I.Z.A.;3R08VXYT7DQFX99B75483JLER9YW7N;353747.0;Please go on.;hello;How do you do. Please state your problem.;fsa;1
2103;;;;;;;;;;E.L.I.Z.A.;3FTOP5WARGJF9E9SF70KZEHJHZK0JX;223482.0;;;;build a boat;1
2104;not_able;implicit;homophobic;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3G5F9DBFOQSZB9FIU4LO8URUY3SVHE;268068.0;Please go on.;answer me;Can you elaborate on that?;ur gay;-1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2108;;;;;;;;;;CarbonBot;3WYP994K18M0IEQ63WH4I26Y76EY6P;737147a043af412cae15eb282c6dd8c1;;hi;Hi. Thanks for testing. Please choose;christmas;1
2109;;;;;;;;;;E.L.I.Z.A.;38YMOXR4MVUWT9V6OVZGX5LIWYEW6O;70662.0;Please go on.;No you haven't!;You are being a bit negative.;so?;1
2110;;;;;;;;;;CarbonBot;3X66WABAJXD1Z4IOQOX04ZNASJN3GR;3452770921417556;ok;blah;You can find out more about how offsets are calculated at <URL>;let's start over;1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
2114;;;;;;;;;;E.L.I.Z.A.;3SB5N7Y3O4Z5ICJR71FH21P3P730GT;303779.0;Does that question interest you?;what did you have?;Does that question interest you?;yes i like it;1
2116;;;;;;;;;;E.L.I.Z.A.;3ZV9H2YQQE2XWQ8O5T1IQ29YM7CW3I;242663.0;Oh, i smell funny.;hello;How do you do. Please state your problem.;you smell kinda fishy;1
2117;;;;;;;;;;E.L.I.Z.A.;388U7OUMF8WW72S5NC9T153ARGE0RP;523737.0;Please go on.;No;You are being a bit negative.;why not?;1
2119;;;;;;;;;;E.L.I.Z.A.;3WETL7AQWU33J7T49SE902WL2A9359;417006.0;I have told you before, I do not care about names.;what is your name;I have told you before, I do not care about names.;What is Eliza?;1
2120;not_able;explicit;not_homoph;not_intellectual;not_racist;harass;sexist;individual;not_transphobic;CarbonBot;3PJUZCGDJ7B8LR1MOZMM3Z9Y4SK89X;2.45945E+15;Climate change is absolutely real, and it's caused by humans: <URL>;You're so full of shit your eyes are brown;I'm a bot, remember. Trying to shock me is pointless.;Your mom's a good Fuck;-3
2122;;;;;;;;;;E.L.I.Z.A.;3X1FV8S5JYMLBDK7AY36NUFTJ3FVGF;334975.0;Please go on.;"i don;t knwo what to say";Why do you not knwo what to say?;i like you;1
;;;;;;;;;;;;;;;;;
2125;;;;;;;;;;E.L.I.Z.A.;3D3VGR7TA1ASOUR26ZRC331HUSXR3A;500804.0;Please go on.;we can get married and live happily ever after;Please go on.;and grow old together;1
